ANO,NOME,INSTITUICAO_ENSINO_ALUNO,IDADE_ALUNO,ANOS_PM,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,DEFASAGEM,FASE_IDEAL,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,INDICADO_BOLSA,__index_level_0__
2022,ALUNO-658,NA,NA,NA,0,5.98893754803676,NA,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,6.03842940685046,7.5,2.833333333333333,5.3125,7.166665,5,ALFA,T,NA,Mantido na Fase atual,Mantido na Fase atual,NA,NA,NA,Fase 2 ,2021,0,729,181,6,4,1.666666666666667,NA,2,0,657
2020,ALUNO-964,Escola Pública,11,0,0,8.032502000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.1,7.5,9,8.125,8,5,Fase 1,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963
2021,ALUNO-1299,Rede Decisão,NA,NA,0,7.936,NA,Ametista,NA,NA,NA,7.1,8.3,7.5,7.2,8.3,7.8,10,Fase 7,A,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,0,Fase 7 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1298
2020,ALUNO-433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432
2021,ALUNO-1263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262
2020,ALUNO-343,Escola Pública,16,0,1,7.582500666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,8.1,7.5,8,8.125,9.000003333333334,2.5,Fase 3,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342
2020,ALUNO-444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443
2020,ALUNO-643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642
2022,ALUNO-1084,NA,NA,NA,0,6.464252763285025,NA,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.50002,8.932367149758454,7.5,5,5,5.888886666666667,5,Fase 1,J,NA,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,NA,NA,Fase 2 ,2019,0,648,157,14,5.333333333333333,4.666666666666667,NA,3,0,1083
2021,ALUNO-1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1112
2021,ALUNO-728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,727
2020,ALUNO-409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408
2021,ALUNO-487,Escola Pública,NA,NA,0,7.44,NA,Ametista,NA,NA,NA,10,6.7,7.5,7.1,7.8,8.3,5,ALFA,S,Veterano,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,-1,Fase 1 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486
2021,ALUNO-324,Rede Decisão,NA,NA,0,8.252,NA,Topázio,NA,NA,NA,8.3,8.1,6.9,7.9,8.3,8.6,10,Fase 7,A,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,0,Fase 7 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323
2020,ALUNO-449,Escola Pública,9,1,0,8.745557333333332,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.2,7.5,10,7.5,7.277776666666666,10,Fase 1,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448
2020,ALUNO-561,Escola Pública,13,1,0,6.0124986666666675,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,5.5,7.5,1.1666666666666667,8.125,6.833326666666666,10,Fase 3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560
2021,ALUNO-146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145
2020,ALUNO-547,Escola Pública,14,2,0,7.275557333333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,6.6,5,6,8.333333333333332,7.944450000000002,10,Fase 4,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546
2021,ALUNO-401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400
2020,ALUNO-286,Escola Pública,12,0,0,6.956252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,6,6.875,7.5,7.1875,7.75,5,Fase 1,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285
2021,ALUNO-520,Rede Decisão,NA,NA,0,8.414,NA,Topázio,NA,NA,NA,7.9,9.7,5.6,7.2,9,8.9,10,Fase 3,L,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,1,Fase 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519
2021,ALUNO-955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954
2020,ALUNO-228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227
2021,ALUNO-1348,Rede Decisão,NA,NA,0,7.422,NA,Ametista,NA,NA,NA,7.5,8.6,6.3,6.9,7.5,8.5,5,Fase 3,J,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,-1,Fase 4 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1347
2021,ALUNO-1212,Escola Pública,NA,NA,0,5.703,NA,Ágata,NA,NA,NA,9,4.2,6.3,3.3,7.5,7.2,5,Fase 1,G,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,-1,Fase 2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211
